X1,X2,X3,X4,Tavg,Trip,Tcog,Navg,Nrip,Ncog
9.925,10.85,16.075,14.075,1429.66,19.35,20.77,0.014413988657848022,0.29559748427673,0.514285714285714
9.925,10.85,16.075,14.15,1431.86,19.24,20.72,0.06639886578449787,0.2610062893081756,0.4428571428571415
9.925,10.85,16.15,13.85,1454.9,18.8,20.51,0.6108223062381894,0.12264150943396246,0.14285714285714504
9.925,10.85,16.15,13.925,1444.92,18.86,20.72,0.37500000000000333,0.14150943396226395,0.4428571428571415
9.925,10.85,16.15,14.0,1445.68,18.81,20.61,0.39295841209830185,0.12578616352201213,0.285714285714285
9.925,10.85,16.15,14.075,1456.71,18.7,20.6,0.6535916824196627,0.09119496855345886,0.2714285714285735
9.925,10.85,16.15,14.15,1431.48,19.16,20.71,0.057419659735351306,0.23584905660377362,0.42857142857143005
9.925,10.925,15.85,13.85,1457.48,19.17,20.87,0.6717863894139912,0.2389937106918244,0.657142857142859
9.925,10.925,15.85,13.925,1432.49,19.96,20.93,0.08128544423440595,0.487421383647799,0.742857142857143
9.925,10.925,15.85,14.0,1462.24,19.24,20.7,0.7842627599243881,0.2610062893081756,0.4142857142857135
9.925,10.925,15.85,14.075,1460.31,19.35,20.69,0.7386578449905491,0.29559748427673,0.400000000000002
9.925,10.925,15.85,14.15,1449.37,19.78,20.64,0.48015122873345856,0.43081761006289343,0.3285714285714295
9.925,10.925,15.924999999999999,13.85,1439.15,19.18,20.73,0.2386578449905518,0.2421383647798741,0.457142857142858
9.925,10.925,15.924999999999999,13.925,1443.04,20.21,20.87,0.3305765595463145,0.5660377358490569,0.657142857142859
9.925,10.925,15.924999999999999,14.0,1462.27,19.25,20.69,0.7849716446124781,0.2641509433962264,0.400000000000002
9.925,10.925,15.924999999999999,14.075,1459.46,19.02,20.87,0.7185727788279803,0.19182389937106903,0.657142857142859
9.925,10.925,15.924999999999999,14.15,1449.31,19.64,20.66,0.4787334593572784,0.38679245283018887,0.3571428571428575
9.925,10.925,16.0,13.85,1433.48,19.57,20.9,0.10467863894140053,0.36477987421383656,0.6999999999999985
9.925,10.925,16.0,13.925,1447.95,19.52,20.87,0.4465973534971673,0.3490566037735848,0.657142857142859
9.925,10.925,16.0,14.0,1449.51,19.42,20.75,0.48345935727788436,0.3176100628930823,0.485714285714286
