X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
18.31,110.1,3.57,0.45,0.68,2.1,1.58,10.66,-45.0,-1219.55,60.48
23.76,109.9,0.5,0.26,1.33,2.19,1.65,14.01,-42.0,-1516.51,55.18
22.71,108.8,2.12,0.48,0.54,2.66,1.71,14.82,-40.0,-1407.35,63.64
15.26,135.8,3.39,0.02,1.12,2.16,1.57,14.05,-44.0,-1314.15,50.71
19.34,101.6,1.26,0.03,3.04,2.07,1.57,12.61,-48.0,-1495.01,41.32
23.46,94.3,1.36,0.61,0.5,2.04,1.51,13.23,-43.0,-1325.28,68.57
17.17,120.7,3.02,0.19,1.65,2.16,1.66,11.8,-47.0,-1428.03,53.06
17.66,129.8,0.6,0.54,0.97,2.41,1.91,14.44,-42.0,-918.32,44.44
23.46,102.2,0.93,0.22,2.59,2.06,1.51,14.83,-43.0,-1697.91,34.98
23.69,107.5,3.24,0.95,0.5,2.04,1.52,10.33,-44.0,-1503.4,86.64
21.09,105.5,1.61,1.0,0.5,2.35,1.78,10.09,-45.0,-1119.85,85.78
23.12,132.3,1.46,0.27,2.22,2.3,1.55,10.58,-44.0,-1652.34,57.8
24.6,110.7,0.5,0.01,3.11,2.12,1.6,10.18,-44.0,-1599.5,47.07
20.91,132.9,2.2,0.18,0.91,2.08,1.58,12.88,-45.0,-1561.19,68.95
17.37,120.4,0.9,0.19,0.81,2.16,1.66,12.74,-45.0,-836.37,43.16
17.6,124.4,1.28,0.35,2.35,2.29,1.63,10.33,-46.0,-1088.81,27.94
24.49,113.9,0.5,0.19,3.14,2.18,1.66,11.08,-43.0,-1568.44,37.13
23.46,102.2,0.93,0.31,0.51,2.03,1.53,14.66,-41.0,-1397.6,60.38
24.59,102.7,0.51,0.62,3.06,2.16,1.66,11.79,-43.0,-1468.96,39.73
23.8,134.5,2.19,0.4,0.89,2.24,1.74,14.06,-43.0,-1744.12,66.81
24.37,138.4,2.64,0.23,0.81,2.12,1.51,10.87,-44.0,-1783.38,81.94
16.9,129.0,1.44,0.1,0.97,2.28,1.78,13.64,-42.0,-990.2,31.71
18.25,120.7,3.09,0.18,1.73,2.31,1.81,13.17,-46.0,-1565.16,60.26
15.69,128.0,2.48,0.62,2.09,2.08,1.58,14.54,-43.0,-1350.15,56.51
24.68,119.9,0.87,0.38,0.76,2.24,1.65,11.51,-44.0,-1540.03,82.37
19.19,118.1,0.5,0.29,1.01,2.16,1.59,11.11,-46.0,-975.52,71.94
19.34,111.2,1.26,0.07,2.96,2.1,1.56,12.61,-47.0,-1486.12,37.61
20.69,91.4,2.16,0.23,0.82,2.02,1.52,11.04,-45.0,-1261.22,67.95
21.81,124.6,0.57,0.93,3.04,2.7,1.7,10.72,-46.0,-1240.05,55.56
23.83,107.5,3.24,0.97,0.5,2.16,1.55,10.33,-43.0,-1487.88,87.26
