X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
20.3,120.5,1.97,0.85,2.24,2.6,1.77,11.83,8.47,-31.0,-1649.28,76.32
20.31,114.6,0.5,0.51,3.92,2.06,1.55,10.52,9.9,-37.0,-1121.92,96.5
21.15,139.0,0.54,0.25,2.31,2.7,1.98,13.84,8.01,-25.0,-1972.17,70.53
19.48,122.8,1.62,0.51,2.59,2.01,1.5,11.06,4.23,-46.0,-1409.78,46.89
24.76,132.3,2.58,0.03,0.79,2.1,1.57,11.86,5.71,-34.0,-2072.36,67.15
23.65,94.9,0.5,0.43,3.22,2.16,1.57,13.85,0.29,-43.0,-1442.75,24.7
23.27,127.2,0.84,0.3,0.5,2.5,1.78,13.99,5.07,-25.0,-1943.0,61.54
19.27,124.6,0.96,0.48,3.45,2.42,1.87,11.62,1.49,-46.0,-1275.03,33.15
16.68,137.4,2.05,0.82,2.43,2.42,1.74,10.07,5.65,-44.0,-1130.95,35.96
20.72,118.7,1.3,0.77,2.49,2.38,1.67,10.34,6.05,-43.0,-1352.77,48.03
20.35,126.5,3.1,0.02,1.12,2.52,1.57,14.05,8.6,-29.0,-1963.25,63.78
19.33,132.0,2.64,0.77,1.14,2.67,1.92,14.39,9.28,-25.0,-2015.38,80.77
24.69,122.9,0.51,0.56,3.03,2.13,1.63,10.31,8.0,-35.0,-1593.89,29.18
16.84,123.0,2.64,0.05,1.87,2.15,1.65,10.0,15.59,-29.0,-1642.91,51.22
24.66,98.0,1.57,0.55,1.71,2.0,1.5,10.55,7.79,-38.0,-1794.47,45.57
18.95,135.8,3.39,0.52,1.32,2.16,1.57,12.04,7.19,-41.0,-1552.51,74.14
24.82,109.3,0.67,0.48,2.61,2.89,1.91,12.09,6.09,-36.0,-1769.11,42.16
20.5,134.4,3.81,0.4,0.5,2.14,1.56,10.47,10.41,-25.0,-1777.72,78.99
20.0,118.5,0.95,0.86,3.51,2.36,1.81,11.59,1.63,-45.0,-1172.4,33.0
19.3,124.6,2.24,0.2,2.14,2.54,1.99,13.72,4.68,-48.0,-1569.79,77.66
24.59,114.6,0.5,0.51,3.17,2.4,1.55,10.52,5.57,-42.0,-1450.66,20.68
17.33,124.5,1.77,0.24,3.11,2.25,1.57,10.09,1.63,-47.0,-1255.05,27.31
19.25,124.6,1.74,0.21,2.66,2.53,1.87,13.72,3.42,-48.0,-1483.61,61.0
24.58,105.8,0.53,0.54,1.71,2.37,1.86,10.56,5.92,-30.0,-1751.52,47.56
23.5,123.9,2.44,0.3,1.01,2.14,1.59,11.46,6.35,-39.0,-1846.54,69.67
24.43,126.0,3.18,0.92,0.5,2.16,1.61,14.28,2.82,-39.0,-1763.64,64.4
22.66,90.2,0.51,0.03,3.3,2.16,1.57,13.85,0.29,-45.0,-1493.62,19.99
21.96,120.2,1.71,0.87,2.24,2.66,1.82,10.55,7.28,-40.0,-1568.08,58.58
18.28,123.5,2.62,0.86,1.88,2.37,1.64,10.15,11.3,-26.0,-1465.51,89.49
24.66,98.0,0.5,0.55,3.02,2.01,1.51,10.55,7.79,-41.0,-1507.43,22.07
19.14,124.3,0.74,0.2,1.38,2.51,1.85,14.72,7.1,-25.0,-1799.38,81.47
24.97,133.0,0.53,0.59,0.54,2.16,1.63,10.33,5.71,-35.0,-1884.56,67.53
24.99,98.2,2.66,0.43,0.69,2.52,1.75,12.11,5.7,-37.0,-1817.14,65.47
24.03,109.4,2.53,0.92,1.0,2.54,1.54,11.01,6.06,-39.0,-1697.12,69.95
24.53,134.4,3.18,0.4,0.5,2.5,1.51,10.49,7.98,-28.0,-2072.92,44.94
21.15,120.1,0.74,0.27,2.31,2.7,1.98,10.61,3.77,-44.0,-1344.25,53.18
23.19,126.1,2.07,0.82,1.59,2.16,1.57,10.39,1.83,-44.0,-1645.85,71.7
17.33,120.4,1.85,0.86,1.96,2.17,1.64,10.3,2.75,-44.0,-1093.02,31.83
21.24,115.0,1.77,0.27,2.31,2.6,1.98,13.47,8.29,-35.0,-1879.12,64.39
24.99,124.1,0.75,0.86,1.9,2.45,1.61,12.83,4.04,-41.0,-1726.61,51.38
17.69,129.0,1.06,0.15,3.09,2.18,1.5,10.46,2.07,-47.0,-1209.5,41.85
24.81,119.8,0.67,0.48,2.58,2.89,1.91,12.09,6.1,-34.0,-1835.77,42.64
18.59,121.7,2.59,0.61,1.91,2.35,1.5,10.38,10.34,-34.0,-1473.09,75.8
16.19,134.4,3.81,0.38,0.5,2.2,1.61,13.46,12.96,-25.0,-1770.83,97.37
19.92,114.6,0.5,0.53,2.21,2.15,1.63,10.52,9.9,-25.0,-1668.06,68.36
21.15,120.1,1.72,0.27,2.31,2.7,1.98,10.61,5.07,-45.0,-1498.8,64.16
24.99,93.9,0.5,0.55,3.01,2.47,1.64,13.9,4.11,-43.0,-1529.12,33.62
23.98,115.6,1.98,0.45,1.63,2.63,1.83,11.91,6.57,-35.0,-1917.7,63.17
20.18,122.9,2.86,0.64,1.19,2.37,1.69,12.52,8.1,-30.0,-1737.11,77.1
24.77,109.5,0.5,0.91,3.07,2.06,1.56,10.28,3.88,-41.0,-1392.81,25.55
24.31,109.5,0.66,0.86,2.67,2.89,1.91,12.85,5.33,-36.0,-1669.5,49.39
20.01,118.4,1.38,0.92,2.71,2.42,1.79,13.66,3.2,-46.0,-1281.42,41.74
24.76,132.1,2.57,0.03,0.83,2.26,1.73,11.88,6.36,-32.0,-2120.15,58.63
24.93,126.1,0.6,0.72,0.69,2.4,1.69,12.06,5.71,-26.0,-1958.59,61.83
24.97,133.0,0.5,0.51,3.03,2.15,1.64,10.34,7.69,-36.0,-1580.8,29.64
18.28,124.6,0.92,0.82,2.5,2.25,1.57,10.01,1.97,-45.0,-1027.45,42.12
17.34,120.1,0.87,0.18,3.86,2.01,1.51,11.88,1.88,-48.0,-1250.83,63.17
