X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
21.86,126.8,0.5,0.7,3.68,2.55,1.7,10.65,11.18,-42.0,-1139.29,47.3
18.24,115.8,1.87,0.78,1.5,2.21,1.71,14.28,14.9,-41.0,-1289.46,48.74
21.87,126.8,0.5,0.75,3.58,2.78,1.93,10.01,10.71,-43.0,-1170.71,46.57
22.55,86.9,2.24,0.47,1.32,2.08,1.57,10.06,14.75,-42.0,-1434.06,84.57
24.97,138.4,0.96,0.24,2.61,2.04,1.52,10.87,11.53,-45.0,-1721.77,46.34
20.16,97.4,1.16,0.62,2.4,2.08,1.58,11.51,14.75,-43.0,-1296.79,55.93
20.01,119.0,3.32,0.03,0.93,2.51,1.7,13.45,14.7,-42.0,-1424.15,67.7
24.89,117.4,0.61,0.15,2.74,2.35,1.84,12.16,14.14,-44.0,-1708.27,43.47
22.07,135.9,0.62,0.14,2.74,2.52,1.73,12.14,14.79,-42.0,-1513.27,41.59
20.5,127.4,2.12,0.28,2.04,2.3,1.8,10.95,16.27,-40.0,-1591.21,84.6
24.86,115.0,1.03,0.11,1.11,2.32,1.79,10.12,10.76,-44.0,-1598.24,76.5
21.11,121.1,2.65,0.3,1.05,2.55,1.98,12.6,13.08,-44.0,-1537.48,72.34
21.15,135.9,0.5,0.82,1.5,2.58,1.71,14.28,14.83,-40.0,-1315.92,57.08
24.12,114.3,0.52,0.31,0.5,2.16,1.57,10.1,10.12,-45.0,-1445.85,90.72
22.97,130.5,1.65,0.37,2.05,2.16,1.65,12.58,16.91,-40.0,-1726.07,66.08
18.3,126.8,1.63,0.75,2.94,2.2,1.7,10.78,11.66,-46.0,-1266.34,43.61
20.16,98.3,1.39,0.63,2.4,2.1,1.58,11.5,11.78,-45.0,-1312.03,37.01
20.73,135.8,3.28,0.03,1.1,2.41,1.67,10.95,12.76,-45.0,-1488.37,78.27
17.42,133.0,2.21,0.48,2.73,2.03,1.53,11.57,14.86,-44.0,-1457.66,66.02
20.19,112.8,3.29,0.31,0.93,2.37,1.51,14.07,14.75,-41.0,-1366.17,64.67
20.19,122.8,0.58,0.33,3.56,2.63,1.77,14.14,17.04,-40.0,-1267.66,31.38
