X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
23,150,1,0.5,2,2.5,1.5,15,-40.0,-1623.81,46.99
16,120,1,0.5,2,2.0,1.5,10,-48.0,-753.85,43.24
16,140,1,0.5,4,2.0,1.5,12,-47.0,-1119.74,98.01
16,110,2,0.5,2,2.0,1.5,12,-47.0,-1137.56,46.26
16,150,2,0.5,1,2.0,1.5,10,-44.0,-914.41,27.28
21,120,3,0.5,1,2.5,1.5,15,-39.0,-1410.51,61.23
23,100,3,0.5,1,2.5,1.5,15,-40.0,-1464.34,61.45
22,150,3,0.5,1,2.0,1.5,15,-41.0,-1678.71,60.39
17,100,2,0.5,1,2.0,1.5,11,-44.0,-878.24,33.31
15,110,1,0.5,4,2.0,1.5,15,-44.0,-1165.62,113.19
23,110,1,0.5,3,2.5,1.5,10,-43.0,-1374.61,48.31
22,150,1,0.5,1,2.0,1.5,13,-44.0,-1532.35,58.91
20,100,1,0.5,3,2.0,1.5,15,-43.0,-1427.0,44.62
25,120,2,0.5,1,2.0,1.5,15,-41.0,-1764.75,62.54
25,150,1,0.5,2,2.5,1.5,10,-43.0,-1699.11,73.19
23,150,2,0.5,1,2.0,1.5,15,-41.0,-1774.5,57.16
15,120,1,0.5,3,2.5,1.5,15,-40.0,-912.88,96.57
21,100,1,0.5,2,2.0,1.5,14,-43.0,-1406.48,35.38
15,100,1,0.5,1,2.0,1.5,10,-47.0,-556.37,38.06
18,100,1,0.5,3,2.0,1.5,11,-47.0,-1128.68,49.82
20,140,2,0.5,2,2.0,1.5,15,-42.0,-1678.13,57.25
23,110,2,0.5,2,2.5,1.5,13,-43.0,-1482.93,66.03
25,150,1,0.5,1,2.0,1.5,15,-41.0,-1835.01,50.77
23,150,1,0.5,1,2.0,1.5,10,-44.0,-1548.03,73.01
17,100,1,0.5,1,2.5,1.5,11,-46.0,-706.66,48.13
16,150,2,0.5,1,2.0,1.5,12,-45.0,-986.8,30.43
25,120,1,0.5,1,2.0,1.5,13,-44.0,-1653.58,66.86
17,150,3,0.5,1,2.0,1.5,13,-45.0,-1302.4,43.25
19,140,3,0.5,1,2.0,1.5,13,-44.0,-1450.88,60.31
15,110,1,0.5,4,2.0,1.5,11,-49.0,-988.01,105.8
15,140,4,0.5,1,2.5,1.5,10,-44.0,-924.12,31.94
24,150,2,0.5,1,2.0,1.5,10,-44.0,-1778.14,77.75
18,130,1,0.5,3,2.0,1.5,15,-43.0,-1403.12,49.17
15,140,1,0.5,1,2.0,1.5,13,-44.0,-712.52,50.29
15,150,1,0.5,1,2.0,1.5,12,-47.0,-699.11,46.1
23,100,2,0.5,1,2.0,1.5,10,-44.0,-1490.86,72.56
22,120,1,0.5,2,2.5,1.5,15,-40.0,-1437.47,48.29
15,140,1,0.5,4,2.5,1.5,13,-45.0,-873.78,115.88
22,120,2,0.5,2,2.5,1.5,10,-43.0,-1441.59,67.51
15,110,1,0.5,1,2.5,1.5,11,-46.0,-573.11,41.21
16,100,3,0.5,1,2.0,1.5,13,-45.0,-1121.77,49.11
16,120,1,0.5,1,2.5,1.5,12,-45.0,-698.27,33.76
16,100,1,0.5,3,2.5,1.5,10,-46.0,-753.6,64.05
24,150,1,0.5,1,2.0,1.5,15,-41.0,-1777.46,48.05
22,130,3,0.5,1,2.5,1.5,15,-40.0,-1489.52,60.76
23,150,1,0.5,1,2.0,1.5,13,-44.0,-1635.88,58.91
22,140,2,0.5,2,2.0,1.5,15,-42.0,-1797.26,59.55
15,110,1,0.5,4,2.0,1.5,14,-47.0,-1109.36,109.19
18,150,1,0.5,1,2.0,1.5,10,-47.0,-979.3,58.71
16,150,2,0.5,1,2.0,1.5,15,-40.0,-1195.87,44.22
