X1,X2,X3,X4,X5,X6,ANG,AVG,RIP
16,110,1,1,3,0.5,-48.0,-1291.32,34.56
21,100,3,1,1,1.0,-43.0,-1271.81,49.36
22,130,2,1,1,1.0,-44.0,-1486.84,62.36
16,110,3,2,1,1.0,-44.0,-800.57,33.7
17,140,3,2,1,0.5,-44.0,-1054.84,41.21
21,120,1,1,2,0.5,-46.0,-1585.42,51.94
16,100,1,1,1,1.0,-45.0,-790.44,37.44
25,150,1,2,1,1.5,-44.0,-1791.28,67.39
17,110,2,1,1,1.5,-45.0,-861.96,45.47
15,120,2,1,3,0.5,-40.0,-1238.12,56.39
22,110,2,1,1,1.0,-44.0,-1408.01,58.68
18,120,1,2,3,0.5,-46.0,-1086.55,83.23
15,100,3,1,2,0.5,-45.0,-1186.33,39.32
20,110,2,2,1,0.5,-44.0,-1236.79,53.46
15,110,1,2,2,0.5,-47.0,-921.04,41.25
16,100,1,1,2,1.0,-46.0,-928.22,28.11
16,140,2,2,2,0.5,-46.0,-1068.42,35.76
21,130,3,1,1,0.5,-43.0,-1516.68,51.98
16,140,1,1,2,1.0,-46.0,-1029.03,36.37
25,100,1,2,2,1.0,-44.0,-1477.57,43.84
25,100,2,2,1,1.0,-44.0,-1550.69,54.06
25,100,1,1,2,0.5,-44.0,-1676.97,35.28
16,110,2,1,1,1.0,-45.0,-891.89,40.69
20,100,1,1,1,0.5,-45.0,-1305.96,63.83
16,100,3,1,1,1.0,-44.0,-892.43,29.55
15,120,1,1,1,1.0,-45.0,-754.46,41.93
24,100,1,2,1,0.5,-45.0,-1536.77,57.92
18,150,3,1,1,1.0,-43.0,-1184.78,53.95
24,130,1,1,1,1.0,-44.0,-1686.3,60.68
24,110,2,2,1,1.0,-44.0,-1527.19,55.83
24,110,1,1,1,0.5,-45.0,-1696.05,53.51
21,110,1,1,3,1.0,-42.0,-1169.23,45.38
18,150,3,1,1,1.5,-43.0,-1096.34,59.6
25,110,2,1,1,1.0,-43.0,-1660.83,57.16
20,140,1,1,1,0.5,-45.0,-1429.29,68.59
19,130,3,1,1,0.5,-44.0,-1374.96,48.7
