X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,AVG,RIP,COG
16,140,3,0.5,1,2.0,1.5,14,17,14,8,1248.26,30.36,18.77
16,120,2,0.5,3,2.5,1.5,12,12,16,16,1117.69,53.57,20.28
25,140,1,0.5,2,2.5,1.5,10,10,16,16,1981.29,30.84,20.12
24,100,2,0.5,1,2.0,1.5,10,10,16,16,1748.49,54.76,20.2
16,120,3,0.5,1,2.5,1.5,11,11,2,2,927.02,34.32,20.13
20,140,3,0.5,1,2.5,1.5,14,17,8,8,1690.89,58.69,18.54
19,150,3,0.5,1,2.0,1.5,10,16,16,8,1395.93,48.53,21.15
17,120,3,0.5,1,2.0,1.5,12,12,16,16,1328.05,66.87,20.16
15,100,2,0.5,1,2.0,1.5,10,14,16,8,900.27,61.86,20.46
23,150,2,0.5,1,2.0,1.5,10,10,16,16,1923.68,54.34,20.24
20,120,3,0.5,1,2.5,1.5,13,13,8,16,1601.63,96.02,19.7
24,100,1,0.5,2,2.0,1.5,10,10,4,16,1532.18,60.33,19.29
25,150,1,0.5,1,2.0,1.5,10,10,0,16,1893.48,60.73,17.96
22,100,2,0.5,2,2.0,1.5,10,10,4,4,1548.44,62.02,19.91
20,100,3,0.5,1,2.5,1.5,11,11,14,14,1359.6,74.77,20.24
24,140,2,0.5,1,2.5,1.5,10,10,16,16,1946.9,49.79,20.19
15,140,4,0.5,1,2.0,1.5,11,17,8,0,1072.92,59.32,19.7
21,100,3,0.5,1,2.5,1.5,10,10,0,16,1264.64,102.91,17.96
23,140,2,0.5,1,2.0,1.5,10,11,12,16,1894.1,62.36,20.55
19,110,3,0.5,1,2.0,1.5,11,11,8,16,1323.26,87.06,19.44
18,140,1,0.5,3,2.0,1.5,13,16,6,0,1381.93,40.09,20.31
16,140,1,0.5,1,2.5,1.5,14,17,14,8,1158.06,86.82,18.74
24,150,2,0.5,1,2.0,1.5,14,14,8,8,2067.06,64.97,20.24
22,100,2,0.5,2,2.0,1.5,11,13,8,4,1556.62,64.71,19.84
23,140,1,0.5,2,2.0,1.5,15,17,4,0,1757.42,34.3,17.53
21,140,1,0.5,2,2.0,1.5,10,17,16,8,1494.43,29.82,21.08
17,140,1,0.5,4,2.0,1.5,12,12,16,16,1035.07,53.19,20.13
23,140,2,0.5,1,2.0,1.5,10,12,12,8,1720.71,68.61,20.56
16,120,2,0.5,1,2.5,1.5,11,14,4,4,816.03,63.08,19.76
20,100,3,0.5,1,2.0,1.5,13,15,16,16,1737.81,66.44,20.2
20,100,1,0.5,3,2.0,1.5,12,17,16,12,1376.11,42.58,20.87
22,120,3,0.5,1,2.0,1.5,14,16,0,8,1663.55,82.2,20.17
22,110,3,0.5,1,2.0,1.5,11,11,8,16,1616.52,79.43,19.48
18,140,1,0.5,1,2.0,1.5,10,10,14,14,1394.68,89.79,19.78
16,150,3,0.5,1,2.0,1.5,14,16,4,0,1305.59,37.79,20.1
17,100,1,0.5,1,2.0,1.5,11,12,16,16,1306.25,97.79,20.98
24,120,2,0.5,1,2.5,1.5,10,10,0,0,1543.16,84.33,20.14
16,100,2,0.5,2,2.0,1.5,10,15,4,4,1062.68,79.7,21.08
22,140,2,0.5,1,2.0,1.5,11,11,16,16,1848.6,60.82,20.0
17,150,2,0.5,2,2.0,1.5,12,16,16,16,1563.2,72.93,20.83
24,100,2,0.5,1,2.5,1.5,10,10,0,16,1506.48,85.89,17.72
21,140,1,0.5,3,2.0,1.5,10,10,16,16,1442.74,19.19,20.16
23,130,1,0.5,1,2.5,1.5,11,11,16,16,1884.87,53.35,20.41
22,150,1,0.5,3,2.0,1.5,11,11,4,4,1472.1,27.78,19.97
16,150,3,0.5,1,2.0,1.5,13,16,14,8,1230.89,34.41,20.36
24,100,2,0.5,1,2.5,1.5,12,12,8,8,1563.56,72.95,20.36
25,120,2,0.5,1,2.0,1.5,10,10,16,16,1977.08,47.47,20.16
24,120,1,0.5,1,2.0,1.5,10,10,8,16,1792.32,63.51,19.91
23,110,2,0.5,1,2.5,1.5,10,10,4,16,1549.62,84.54,19.15
20,100,3,0.5,1,2.5,1.5,14,14,8,8,1309.82,71.3,20.31
16,120,2,0.5,1,2.5,1.5,11,17,4,4,909.72,103.46,19.19
17,150,3,0.5,2,2.0,1.5,14,16,16,12,1514.54,53.69,20.15
15,100,3,0.5,2,2.0,1.5,12,15,12,6,1227.1,48.39,20.47
20,150,3,0.5,1,2.0,1.5,10,10,16,16,1613.95,69.85,20.17
16,140,4,0.5,1,2.0,1.5,11,11,0,0,1187.53,41.66,19.88
24,150,2,0.5,1,2.0,1.5,10,10,16,16,2043.87,46.24,20.15
