index, torque
216,0.0005748730602023128
217,0.0004408636590802321
218,-4.091174717015455e-05
219,-0.0002209531889073614
220,-0.0005720106963389379
221,-0.0008278342995211756
222,-8.26740283588331e-05
223,-0.00033902991260484653
224,4.5348018139939814e-05
225,0.0010129597344270625
226,0.0013018052069607112
227,0.0020147594065980045
228,0.002995572304349266
229,0.0035391188713782954
230,0.0037333990790026413
231,0.0042870378986938715
232,0.004560160302077841
233,0.004220141260934957
234,0.00455723074720045
235,0.004281928732964631
236,0.00371423519047316
237,0.0035631500921273055
238,0.003104798410484203
239,0.0027361801182571167
240,0.002040170188315689
241,0.001946768593686206
242,0.001381975307551846
243,0.0009952903032529315
244,0.0012333385542871787
245,0.0010428700343099533
246,0.001202634717134512
247,0.0017411325767322555
248,0.002217363587232964
249,0.002451827722925052
250,0.0029107749582558008
251,0.0029559552678316064
252,0.002629993626418214
253,0.0030313900089409557
254,0.00261651939048499
255,0.0019481317462955326
256,0.0016607270517780919
257,0.0008225552824986991
258,0.00043911641418413905
259,0.00013666042272217913
260,-0.00029556271583820607
261,-0.0005818030252866058
262,-0.0008543105292509517
263,-0.0008678352511972943
264,-0.0007633772144295821
265,-0.0009414364420894431
266,-0.0011937629571559662
267,-0.0008461067824454835
268,-0.0007854679406113594
269,-0.0009633464541437728
270,-0.0006084923453695081
271,-0.0007209056364517433
272,-0.0007483363493898452
273,-0.00016503450601915636
274,-0.00033925012801079395
275,-0.00029473323687144405
276,-0.00025048385394315937
277,-0.0005190020004031586
278,-0.00037378769726362747
279,-0.00035884096537151843
280,-0.0007471618254083585
281,-0.0007620002978900521
282,-0.000629856403166686
283,-0.0008794801614223418
284,-0.0004998715926749038
285,-0.0004952807167758698
286,-0.0006289575534101661
287,-0.00013640212209596082
288,0.00010813555781552043
289,0.00039865546714017413
290,0.0009811575868612023
291,0.00082114189812929
292,0.0009871083822627826
293,0.0015540570207478624
294,0.001721362795238725
295,0.0017230256875577477
296,0.001860045679695662
297,0.0016039227538117247
298,0.0012875318922338846
299,0.0014821230774589524
300,0.0007534462921527573
301,0.00034325151915031837
302,-0.00013233625854399637
303,-0.001030817057756313
304,-0.0013556908951430887
305,-0.0018912077871909572
306,-0.002019742750216575
307,-0.0021842958003664642
308,-0.0021101169536168647
309,-0.0014619562257735777
310,-0.001237063632471825
311,-0.00047743918917609544
312,0.0004660420888199994
313,0.0010086301863938664
314,0.0015792000885940776
315,0.002471251780640506
316,0.00282741024792447
317,0.002422050476008866
318,0.0027442974506283082
319,0.0025899011576892604
320,0.0013768615832701714
321,0.0012565537136216011
322,0.00014772753516635465
323,-0.0012466169655003891
324,-0.0015883548016109575
325,-0.002122110986225052
326,-0.002725135532229632
327,-0.0029684284523387866
328,-0.0027082397590936225
329,-0.0026834444648621393
330,-0.002124542581839117
331,-0.0011755341220459998
332,-0.0006830440973307826
333,1.8177480632099955e-05
334,0.0005636306003418828
335,0.0009320652504715798
336,0.0015082314198680905
337,0.0014970040975523036
338,0.0013742582727192013
339,0.0007631189347379629
340,0.0005363360731520611
341,0.00017940967767936288
342,-0.0004429102617877728
343,-0.0006034987551824041
344,-0.0012727308122629068
345,-0.001400106442612888
346,-0.001260875655641092
347,-0.0015201634605813128
348,-0.0015259698664923092
349,-0.001680044882257716
350,-0.0014531385165859638
351,-0.0013857507780101947
352,-0.0014068816748881818
353,-0.0012192812154022533
354,-0.0012044494075592119
355,-0.0006601362591902612
356,-0.0007297167779509329
357,-0.0005131909713210129
358,-0.0003825588466044713
359,-0.0006201954109293943
360,6.274328752082104e-06
361,-0.0001147746343361589
362,1.2407693205843291e-05
363,0.00014482130495419542
364,8.846619466120441e-05
365,0.0003642173562554414
366,0.00048469978384179605
367,0.0007017884717015321
368,0.000483483414292342
369,0.000392909606248399
370,0.0006210670423804081
371,0.0008779557176756539
372,0.0007624506272980479
373,0.0009264267665881753
374,0.0011107591310633364
375,0.0009734477164175925
376,0.0013271175185218026
377,0.002047018533423665
378,0.0016589007573477525
379,0.00180688918669555
380,0.002502733818045486
381,0.002109934648152968
382,0.002172241673950409
383,0.00244640489254726
384,0.002273549301230036
385,0.00159742489746234
386,0.0017624066788848884
387,0.0014729946433155343
388,0.0005444387887492859
389,0.000632489113358326
390,0.00021827061549202931
391,-9.846670632302152e-05
392,-4.772285338302184e-05
393,0.00020212717319306522
394,0.0004395833724635226
395,0.0005580207436638842
396,0.0016465642862069458
397,0.0023527139996827686
398,0.002966219883858682
399,0.003987956938679289
400,0.004332300164266465
401,0.0043846245609193545
402,0.005031555129114373
