X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
18.52,127.3,1.56,0.65,2.93,2.35,1.79,12.47,17.06,4.82,3.91,20.42
22.05,134.5,2.11,0.51,2.02,2.2,1.7,11.91,15.99,6.56,2.48,19.86
22.04,134.4,0.5,0.33,3.63,2.08,1.55,10.61,16.3,7.47,4.66,20.1
21.45,133.9,0.61,0.99,3.15,2.13,1.59,13.4,14.99,6.24,4.65,20.05
22.09,98.8,1.17,0.67,1.92,2.26,1.72,12.47,17.06,8.42,3.85,20.53
21.61,92.5,1.02,0.67,1.92,2.15,1.65,12.46,17.65,8.46,3.74,20.65
24.18,120.8,0.57,0.67,1.22,2.04,1.53,12.66,16.29,5.66,2.16,18.94
24.59,120.9,1.17,0.67,1.92,2.11,1.54,12.3,17.06,6.11,1.35,20.14
21.53,124.4,0.96,0.95,2.61,2.03,1.53,11.94,14.94,5.79,2.79,20.34
24.95,90.8,0.99,0.43,2.21,2.26,1.51,10.27,14.91,5.76,1.55,19.37
23.8,76.9,1.42,0.66,1.13,2.04,1.54,11.09,13.06,3.55,1.58,19.54
22.15,114.8,1.02,0.43,2.61,2.18,1.56,10.13,16.99,5.1,3.86,19.26
23.71,115.6,0.95,0.75,2.59,2.08,1.56,11.24,15.95,5.51,3.07,20.81
24.45,90.0,0.94,0.54,1.08,2.1,1.59,10.25,16.81,6.48,1.74,21.2
24.22,110.5,1.5,0.51,1.27,2.41,1.72,10.31,17.32,6.07,1.46,21.77
24.36,97.4,1.06,0.4,0.5,2.02,1.51,11.33,17.37,7.31,1.27,19.86
21.93,129.9,0.5,0.33,3.63,2.08,1.55,10.82,14.68,4.37,4.66,20.09
22.08,98.8,1.17,0.66,1.92,2.34,1.72,10.09,17.12,8.45,3.8,21.46
23.84,114.6,1.37,0.71,1.62,2.24,1.73,10.88,14.91,5.56,1.53,19.94
24.22,115.8,1.5,0.51,1.77,2.22,1.72,10.31,16.6,6.75,2.18,20.9
22.72,94.6,1.06,0.6,0.54,2.17,1.67,10.08,16.66,7.21,1.77,20.29
24.46,95.8,2.94,0.98,0.53,2.2,1.7,14.31,14.95,1.95,1.31,20.39
