
 Nodal results 
Node x:0.0, y:0.0, Vector potential = 0
Node x:1.5, y:2.5, Vector potential = 7.92876978752784e-007
Node x:1.5, y:2.5, Bx = 0.0002187254709906215
Node x:1.5, y:2.5, By = 0.001136558283031925
Node x:1.5, y:2.5, Sigma = 0
Node x:1.5, y:2.5, E = 0.5330121176188385
Node x:1.5, y:2.5, Hx = 174.0561994413018
Node x:1.5, y:2.5, Hy = 904.444344282841
Node x:1.5, y:2.5, Je = 0
Node x:1.5, y:2.5, Js = 0
Node x:1.5, y:2.5, Mux = 1
Node x:1.5, y:2.5, Muy = 1
Node x:1.5, y:2.5, Pe = 0
Node x:1.5, y:2.5, Ph = 0

 Nodal results 
Node x:1.5, y:3.0, Vector potential = 6.880170003624256e-007
Node x:1.5, y:3.0, Bx = 0.0002396869174695781
Node x:1.5, y:3.0, By = 0.0009859140247385351
Node x:1.5, y:3.0, Sigma = 0
Node x:1.5, y:3.0, E = 0.409615597922067
Node x:1.5, y:3.0, Hx = 190.7367885487126
Node x:1.5, y:3.0, Hy = 784.5654525038152
Node x:1.5, y:3.0, Je = 0
Node x:1.5, y:3.0, Js = 0
Node x:1.5, y:3.0, Mux = 1
Node x:1.5, y:3.0, Muy = 1
Node x:1.5, y:3.0, Pe = 0
Node x:1.5, y:3.0, Ph = 0

 Nodal results 
Node x:1.5, y:3.5, Vector potential = 5.767003938794478e-007
Node x:1.5, y:3.5, Bx = 0.0002522082990761859
Node x:1.5, y:3.5, By = 0.0008181379556150265
Node x:1.5, y:3.5, Sigma = 0
Node x:1.5, y:3.5, E = 0.2916350165987108
Node x:1.5, y:3.5, Hx = 200.7009874338705
Node x:1.5, y:3.5, Hy = 651.0534988361457
Node x:1.5, y:3.5, Je = 0
Node x:1.5, y:3.5, Js = 0
Node x:1.5, y:3.5, Mux = 1
Node x:1.5, y:3.5, Muy = 1
Node x:1.5, y:3.5, Pe = 0
Node x:1.5, y:3.5, Ph = 0

 Nodal results 
Node x:1.5, y:4.0, Vector potential = 4.505132242442155e-007
Node x:1.5, y:4.0, Bx = 0.0002357508167599222
Node x:1.5, y:4.0, By = 0.0006407322937547915
Node x:1.5, y:4.0, Sigma = 0
Node x:1.5, y:4.0, E = 0.1854617909050969
Node x:1.5, y:4.0, Hx = 187.6045391264663
Node x:1.5, y:4.0, Hy = 509.8785587484171
Node x:1.5, y:4.0, Je = 0
Node x:1.5, y:4.0, Js = 0
Node x:1.5, y:4.0, Mux = 1
Node x:1.5, y:4.0, Muy = 1
Node x:1.5, y:4.0, Pe = 0
Node x:1.5, y:4.0, Ph = 0

 Nodal results 
Node x:1.5, y:4.5, Vector potential = 3.457971536653347e-007
Node x:1.5, y:4.5, Bx = 0.0002303465917993552
Node x:1.5, y:4.5, By = 0.0004755581943980907
Node x:1.5, y:4.5, Sigma = 0
Node x:1.5, y:4.5, E = 0.1110961777196437
Node x:1.5, y:4.5, Hx = 183.3039935461921
Node x:1.5, y:4.5, Hy = 378.4371868315631
Node x:1.5, y:4.5, Je = 0
Node x:1.5, y:4.5, Js = 0
Node x:1.5, y:4.5, Mux = 1
Node x:1.5, y:4.5, Muy = 1
Node x:1.5, y:4.5, Pe = 0
Node x:1.5, y:4.5, Ph = 0

 Nodal results 
Node x:1.5, y:5.0, Vector potential = 2.431716156082227e-007
Node x:1.5, y:5.0, Bx = 0.0002377961517678678
Node x:1.5, y:5.0, By = 0.0003112802495418673
Node x:1.5, y:5.0, Sigma = 0
Node x:1.5, y:5.0, E = 0.06105279251239037
Node x:1.5, y:5.0, Hx = 189.2321650104336
Node x:1.5, y:5.0, Hy = 247.7089520073344
Node x:1.5, y:5.0, Je = 0
Node x:1.5, y:5.0, Js = 0
