
 Nodal results 
Node x:0.0, y:-6.0, Vector potential = 0
Node x:5.708333333333333, y:-2.2916666666666665, E = 0.821445854038529
Node x:5.708333333333333, y:-2.2916666666666665, Hx = -745.6205859896932
Node x:5.708333333333333, y:-2.2916666666666665, Hy = 866.8457897885535
Node x:5.708333333333333, y:-2.2916666666666665, Je = 0
Node x:5.708333333333333, y:-2.2916666666666665, Js = 0.25
Node x:5.708333333333333, y:-2.2916666666666665, Mux = 1
Node x:5.708333333333333, y:-2.2916666666666665, Muy = 1
Node x:5.708333333333333, y:-2.2916666666666665, Pe = 0
Node x:5.708333333333333, y:-2.2916666666666665, Ph = 0

 Nodal results 
Node x:6.0, y:-3.0, Vector potential = 1.474940518029755e-005
Node x:6.0, y:-3.0, Bx = -0.001384419859291255
Node x:6.0, y:-3.0, By = 0.0003866082654755874
Node x:6.0, y:-3.0, Sigma = 58
Node x:6.0, y:-3.0, E = 0.822068822072307
Node x:6.0, y:-3.0, Hx = -1101.686319603947
Node x:6.0, y:-3.0, Hy = 307.6530824531174
Node x:6.0, y:-3.0, Je = 0
Node x:6.0, y:-3.0, Js = 0.25
Node x:6.0, y:-3.0, Mux = 1
Node x:6.0, y:-3.0, Muy = 1
Node x:6.0, y:-3.0, Pe = 0
Node x:6.0, y:-3.0, Ph = 0

 Nodal results 
Node x:6.5, y:-3.8799148345233214, Vector potential = 9.191525842709e-006
Node x:6.5, y:-3.8799148345233214, Bx = -0.001306587608948329
Node x:6.5, y:-3.8799148345233214, By = -2.907231701925011e-005
Node x:6.5, y:-3.8799148345233214, Sigma = 0
Node x:6.5, y:-3.8799148345233214, E = 0.6795981241880952
Node x:6.5, y:-3.8799148345233214, Hx = -1039.749382733734
Node x:6.5, y:-3.8799148345233214, Hy = -23.13501480374146
Node x:6.5, y:-3.8799148345233214, Je = 0
Node x:6.5, y:-3.8799148345233214, Js = 0
Node x:6.5, y:-3.8799148345233214, Mux = 1
Node x:6.5, y:-3.8799148345233214, Muy = 1
Node x:6.5, y:-3.8799148345233214, Pe = 0
Node x:6.5, y:-3.8799148345233214, Ph = 0

 Nodal results 
Node x:7.5, y:-6.0, Vector potential = 0
Node x:7.5, y:-6.0, Bx = -0.0008055888718020043
Node x:7.5, y:-6.0, By = -2.98228603867864e-005
Node x:7.5, y:-6.0, Sigma = 0
Node x:7.5, y:-6.0, E = 0.2585722056574948
Node x:7.5, y:-6.0, Hx = -641.0672552355608
Node x:7.5, y:-6.0, Hy = -23.73227823848265
Node x:7.5, y:-6.0, Je = 0
Node x:7.5, y:-6.0, Js = 0
Node x:7.5, y:-6.0, Mux = 1
Node x:7.5, y:-6.0, Muy = 1
Node x:7.5, y:-6.0, Pe = 0
