Column1,Column2,Column3
5.34210744,-0.055894885,
5.35359584,-0.061351704,
5.36508424,-0.066808523,
5.37657265,-0.072265342,
5.38806105,-0.082603338,
5.39954945,-0.093578802,
5.41103785,-0.107897017,
5.42252626,-0.139213504,
5.43401466,-0.164757221,
5.44550306,-0.119266575,
5.45699147,-0.062008391,
5.46847987,-0.053553319,
5.47996827,-0.050460305,
5.49145668,-0.048107477,
5.50294508,-0.047017719,
5.51443348,-0.045927962,
5.52592189,-0.044838204,
5.53741029,-0.045041694,
5.54889869,-0.044740675,
5.56038709,-0.044403489,
5.5718755,-0.044066302,
5.5833639,-0.043729115,
5.5948523,-0.044771847,
5.60634071,-0.046135544,
5.61782911,-0.047499242,
5.62931751,-0.04886294,
5.64080592,-0.050223843,
5.65229432,-0.051461588,
5.66378272,-0.052705565,
5.67527113,-0.053973325,
5.68675953,-0.055241085,
5.69824793,-0.056508845,
5.70973633,-0.057776604,
