X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
22.97,117.4,0.5,0.67,1.92,2.61,1.93,12.17,-43.0,-162.26,96.96
21.99,123.3,1.49,0.14,2.09,2.54,1.58,12.61,-42.0,-167.24,93.53
24.17,118.5,0.81,0.92,2.93,2.37,1.73,12.78,-42.0,-169.31,94.72
16.84,114.7,1.86,0.43,2.55,2.0,1.5,10.01,-43.0,-130.85,102.46
19.25,116.4,1.67,0.93,2.4,2.22,1.72,14.69,-28.0,-206.94,80.4
23.18,117.0,1.58,0.92,2.07,2.33,1.7,14.47,-30.0,-208.94,78.35
23.86,92.0,1.7,0.46,1.46,2.0,1.5,14.44,-30.0,-205.81,77.12
17.48,117.3,1.13,0.52,2.78,2.13,1.63,12.69,-40.0,-161.48,89.14
20.09,125.1,1.86,0.14,1.84,2.18,1.65,13.09,-39.0,-179.86,82.97
23.12,134.3,1.24,0.64,2.69,2.14,1.5,14.84,-27.0,-215.27,73.24
23.52,105.7,0.5,0.17,2.95,2.16,1.55,13.0,-41.0,-171.8,91.66
23.17,110.9,0.81,0.87,1.54,2.3,1.8,10.46,-45.0,-142.71,105.44
23.13,117.9,2.83,0.83,0.85,2.4,1.66,13.77,-37.0,-188.02,85.76
19.14,120.0,1.47,0.86,2.96,2.0,1.5,14.35,-32.0,-197.19,82.92
19.48,104.8,0.54,0.63,1.51,2.15,1.65,14.61,-28.0,-202.86,85.03
19.5,110.4,1.85,0.63,1.69,2.02,1.51,13.25,-39.0,-171.48,85.97
22.02,108.2,0.66,0.4,3.08,2.1,1.51,14.66,-29.0,-206.91,75.71
21.99,133.0,1.02,0.68,0.57,2.44,1.5,12.75,-42.0,-168.17,93.73
23.53,105.7,0.68,0.17,2.95,2.36,1.55,10.6,-45.0,-141.59,105.72
19.36,101.0,1.5,0.34,0.86,2.05,1.55,12.71,-42.0,-156.38,90.54
20.11,137.7,2.04,0.34,0.51,2.15,1.65,13.9,-35.0,-191.84,85.83
19.11,116.0,2.57,0.54,1.79,2.08,1.58,13.67,-36.0,-186.37,82.92
23.07,100.4,0.5,0.38,2.35,2.46,1.94,14.47,-29.0,-209.47,79.55
15.57,139.6,1.69,0.3,3.42,2.25,1.68,14.83,-28.0,-211.38,73.8
23.67,140.0,1.92,0.25,1.47,2.21,1.5,14.78,-29.0,-215.1,75.38
15.52,139.3,1.69,0.14,3.42,2.17,1.65,13.1,-38.0,-179.17,79.43
16.35,136.9,2.33,0.93,2.58,2.35,1.85,14.68,-29.0,-205.09,81.76
19.24,116.8,1.46,0.08,2.4,2.08,1.5,14.48,-30.0,-206.61,75.69
19.5,139.6,1.19,0.63,2.77,2.38,1.74,14.84,-26.0,-213.47,79.55
20.14,124.6,1.86,0.3,1.84,2.23,1.66,14.74,-28.0,-215.51,75.24
22.95,114.9,2.7,0.09,0.98,2.04,1.53,10.51,-43.0,-153.88,98.85
20.43,96.7,3.79,0.29,0.5,2.1,1.52,13.77,-36.0,-182.98,84.01
20.31,110.4,1.24,0.4,2.39,2.37,1.87,14.88,-26.0,-218.39,74.13
15.58,139.6,1.69,0.63,3.42,2.28,1.74,14.84,-27.0,-209.56,77.84
22.02,108.2,0.66,0.4,3.08,2.1,1.51,14.61,-29.0,-205.6,77.36
23.53,120.4,1.38,0.38,0.86,2.05,1.55,10.63,-45.0,-147.29,103.49
23.27,80.7,0.99,0.62,0.57,2.08,1.58,12.77,-42.0,-162.4,91.56
20.34,100.8,1.75,0.5,1.46,2.0,1.5,14.44,-30.0,-201.04,79.89
19.91,104.6,1.46,0.11,2.76,2.19,1.69,14.72,-29.0,-217.82,68.95
