X1,X2,X3,X4,X5,X6,X7,X8,COG
24.49,93.8,0.51,0.02,3.04,2.17,1.66,10.18,19.72
19.34,101.0,1.35,0.03,3.01,2.05,1.51,12.61,18.8
23.46,101.1,0.52,0.64,3.01,2.05,1.51,11.45,20.63
16.51,132.4,1.89,0.18,3.03,2.12,1.62,13.63,21.13
24.47,128.0,1.33,0.62,2.09,2.08,1.58,14.37,19.73
23.14,91.1,1.91,0.15,1.59,2.05,1.51,10.7,19.02
24.33,115.7,1.25,0.76,2.24,2.82,1.86,10.62,19.07
15.93,124.4,1.28,0.35,2.34,2.05,1.55,10.33,19.33
24.5,135.9,2.19,0.06,1.24,2.58,1.66,14.21,20.57
23.46,123.5,0.93,0.31,2.56,2.01,1.51,12.66,18.72
23.77,129.3,2.2,0.27,1.4,2.58,1.65,14.01,20.51
24.37,110.4,2.74,0.23,0.81,2.33,1.71,14.83,19.2
17.6,124.7,0.51,0.0,2.35,2.29,1.63,10.19,20.01
23.67,102.3,1.12,0.22,2.36,2.1,1.58,14.91,19.03
19.56,111.2,1.26,0.07,2.96,2.1,1.56,12.61,19.09
19.06,135.1,2.82,0.75,1.62,2.26,1.61,10.75,19.23
24.37,138.4,2.64,0.08,0.77,2.09,1.51,10.87,19.64
23.77,132.3,2.19,0.27,1.38,2.68,1.76,14.01,20.63
17.4,120.2,0.92,0.18,2.23,2.17,1.65,10.54,19.11
21.2,97.8,0.54,0.99,3.62,2.19,1.69,11.51,21.3
22.84,132.4,1.77,0.75,2.22,2.33,1.53,10.72,19.04
17.67,109.4,3.64,0.79,1.22,2.01,1.51,11.45,20.57
24.63,127.5,1.17,0.27,2.21,2.2,1.58,10.98,20.27
24.51,98.7,0.52,0.4,1.77,2.04,1.53,12.79,19.19
19.71,109.5,0.5,0.18,3.94,2.05,1.55,10.63,18.73
23.38,98.3,0.89,0.3,0.51,2.03,1.53,10.6,18.79
21.44,123.8,2.33,0.35,1.66,2.39,1.71,13.72,21.09
16.51,137.6,1.26,0.18,3.09,2.05,1.55,13.63,20.72
18.93,102.0,2.64,0.03,0.81,2.02,1.51,10.87,19.43
24.49,109.9,0.51,0.01,3.13,2.2,1.66,14.73,19.02
23.8,132.3,2.11,0.18,1.7,2.5,1.76,12.67,19.47
23.46,102.6,1.58,0.33,0.56,2.14,1.64,14.78,18.81
20.82,103.3,0.93,0.27,3.09,2.16,1.66,13.73,21.19
23.18,132.5,0.73,0.13,2.95,2.1,1.59,12.16,20.38
21.12,136.9,2.62,0.03,0.86,2.06,1.51,12.61,18.78
23.46,103.6,0.93,0.31,1.84,2.01,1.51,10.57,18.9
23.07,91.0,0.81,0.77,2.7,2.08,1.51,10.61,18.86
19.34,126.8,1.35,0.03,3.01,2.05,1.51,12.61,19.03
17.6,124.4,2.27,0.36,2.29,2.24,1.63,10.47,19.38
24.49,111.5,0.5,0.02,3.14,2.17,1.66,12.66,19.19
16.9,127.6,1.44,0.1,1.01,2.24,1.74,11.7,21.12
20.73,115.6,0.66,0.2,2.5,2.49,1.86,12.75,20.07
20.84,93.3,1.24,0.22,2.75,2.08,1.58,12.79,19.85
24.52,93.1,0.5,0.01,1.73,2.17,1.63,14.76,18.97
23.42,101.8,0.93,0.23,2.61,2.14,1.51,14.83,18.73
21.05,95.7,1.83,1.0,2.09,2.15,1.65,10.48,19.32
24.28,133.2,0.78,0.22,2.69,2.33,1.55,10.3,19.07
19.34,115.8,1.26,0.03,2.97,2.14,1.6,12.61,19.06
19.76,100.9,0.5,0.03,3.95,2.06,1.56,11.87,20.51
23.92,93.8,0.5,0.02,2.98,2.24,1.73,10.18,20.46
23.74,109.5,0.5,0.01,3.15,2.2,1.66,14.67,19.0
24.42,135.1,1.7,0.17,1.22,2.23,1.72,12.79,19.63
22.89,132.5,0.73,0.28,2.91,2.08,1.58,11.55,21.27
24.37,91.3,2.64,0.15,0.81,2.06,1.51,10.87,19.64
19.78,97.1,0.5,0.19,3.91,2.03,1.53,12.1,20.22
19.63,127.5,1.17,0.23,2.27,2.2,1.58,10.94,20.01
23.46,102.2,0.93,0.36,2.59,2.01,1.51,14.66,18.46
24.39,101.5,0.54,0.03,2.73,2.1,1.54,12.61,19.06
20.37,101.3,0.52,0.63,2.56,2.04,1.51,12.66,18.76
23.43,101.0,0.54,0.02,2.99,2.05,1.51,12.61,18.92
23.95,101.0,1.12,0.22,2.46,2.04,1.52,14.91,18.8
22.54,115.4,1.6,0.19,2.16,2.37,1.85,11.02,20.65
24.09,94.0,0.56,0.06,3.09,2.12,1.52,11.5,20.63
21.0,109.5,0.99,0.18,3.04,2.1,1.6,11.74,21.24
17.59,124.2,1.28,0.35,2.34,2.13,1.63,10.37,19.43
17.69,136.1,1.29,0.19,3.47,2.26,1.64,10.33,19.68
23.46,103.9,0.83,0.31,0.51,2.03,1.53,14.66,18.52
20.47,125.3,0.85,0.19,2.59,2.16,1.58,13.41,20.51
19.78,132.9,1.7,0.23,2.6,2.19,1.66,10.63,18.87
23.29,124.6,1.54,0.39,2.13,2.01,1.51,13.83,20.5
15.96,132.4,1.8,0.77,2.23,2.2,1.6,14.58,19.1
19.74,120.3,0.89,0.4,2.23,2.2,1.55,10.63,18.9
23.86,130.3,1.12,0.22,2.34,2.1,1.59,14.93,19.35
19.34,101.0,1.89,0.03,2.38,2.06,1.56,12.61,18.77
