X1,X2,X3,X4,X5,X6,X7,X8,COG
23.67,133.3,1.95,0.4,1.86,2.21,1.5,14.78,18.77
20.01,95.2,2.21,0.77,1.09,2.01,1.51,14.69,18.41
22.48,134.3,1.23,0.39,2.56,2.14,1.54,14.53,19.26
19.41,139.0,1.22,0.4,2.64,2.05,1.55,14.93,19.01
23.18,105.8,0.59,0.41,2.94,2.22,1.71,14.72,19.13
20.42,136.1,2.35,0.49,0.9,2.02,1.52,14.71,18.62
22.99,126.1,0.75,0.39,1.06,2.05,1.54,14.74,18.72
19.41,116.9,2.87,0.31,0.99,2.13,1.51,14.53,18.68
21.88,108.4,1.66,0.65,2.19,2.18,1.68,14.66,18.99
19.43,139.6,1.2,0.3,3.41,2.25,1.68,14.83,19.1
17.01,136.9,1.85,0.25,2.61,2.46,1.73,14.78,18.95
18.86,121.1,1.54,0.87,2.91,2.0,1.5,14.63,18.4
23.35,139.2,0.5,0.3,3.38,2.22,1.65,14.39,19.75
22.86,134.3,1.24,0.64,2.69,2.14,1.5,14.84,18.59
16.48,136.6,1.46,0.24,3.16,2.23,1.69,14.83,19.08
19.21,104.6,1.43,0.14,2.4,2.01,1.51,14.48,18.9
22.82,138.7,1.17,0.32,2.56,2.14,1.5,14.84,18.65
23.78,125.2,1.98,0.45,1.72,2.4,1.66,14.66,19.15
23.27,103.6,1.18,0.42,2.41,2.38,1.74,14.69,18.94
19.54,133.3,1.48,0.64,2.95,2.67,1.75,14.72,19.17
23.16,115.3,0.67,0.89,1.66,2.49,1.83,14.47,19.86
20.31,114.5,1.25,0.4,2.39,2.46,1.75,14.72,18.83
24.12,139.1,0.56,0.3,3.18,2.11,1.54,14.8,18.88
19.49,117.1,3.01,0.07,1.32,2.19,1.68,14.85,19.09
23.27,103.6,0.59,0.66,1.07,2.13,1.54,14.69,18.54
20.55,134.2,1.9,0.62,2.52,2.7,1.79,14.72,18.9
20.89,108.4,1.35,0.52,2.93,2.01,1.51,14.93,19.07
18.43,116.4,1.46,0.28,0.6,2.24,1.51,14.53,18.78
21.02,139.2,1.49,0.3,0.57,2.64,1.75,14.7,18.97
23.16,107.2,0.63,0.7,2.65,2.15,1.51,14.78,18.63
19.88,104.4,2.07,0.18,2.12,2.02,1.52,14.47,19.09
