X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,ANG,AVG,RIP,COG
18.26,124.5,1.35,0.7,2.51,2.1,1.58,10.05,1.14,14.45,-46.0,-1166.46,60.9,19.68
18.0,133.7,1.35,0.36,0.94,2.54,1.58,12.95,10.04,13.45,-25.0,-1764.16,89.65,21.03
20.05,137.2,1.11,0.13,0.97,2.02,1.51,11.61,3.8,17.88,-37.0,-1519.95,69.66,20.19
15.72,137.4,2.49,0.69,1.38,2.26,1.6,12.91,9.52,13.14,-25.0,-1458.42,105.88,19.71
23.13,118.5,2.87,0.26,0.81,2.58,1.9,12.22,3.61,16.26,-36.0,-1725.31,66.01,21.5
19.24,132.6,1.8,0.96,2.23,2.64,1.95,10.3,4.23,12.02,-44.0,-1266.0,63.44,21.87
20.19,119.1,2.49,0.55,1.69,2.4,1.86,10.4,0.42,17.85,-35.0,-1368.88,86.13,21.11
22.19,97.4,1.53,0.1,1.37,2.12,1.62,12.82,4.45,16.36,-45.0,-1630.45,72.79,20.1
18.22,138.1,1.99,0.7,2.07,2.38,1.57,11.94,5.23,16.91,-43.0,-1337.59,66.15,19.55
22.21,91.7,3.28,0.46,0.5,2.2,1.7,10.72,5.0,15.73,-36.0,-1520.6,71.51,21.41
24.16,101.6,1.68,0.02,1.18,2.61,1.86,11.04,6.85,11.91,-36.0,-1834.82,61.83,20.19
18.15,128.9,0.51,0.69,3.46,2.36,1.54,10.18,9.42,15.08,-31.0,-1353.39,122.31,20.31
17.09,136.8,0.5,0.4,3.28,2.25,1.66,10.72,3.86,16.79,-48.0,-1039.78,48.73,20.28
15.76,133.9,2.56,0.26,1.84,2.2,1.7,12.96,9.45,17.56,-37.0,-1638.54,63.31,20.28
17.95,125.1,1.38,0.43,0.64,2.36,1.73,10.96,4.8,14.28,-34.0,-1233.57,98.55,21.61
19.5,133.8,2.97,0.81,0.53,2.42,1.59,10.86,6.43,16.32,-25.0,-1661.85,83.83,20.29
23.22,132.9,0.65,0.95,2.48,2.5,1.74,10.21,0.5,11.87,-43.0,-1445.7,63.51,20.97
19.94,117.6,0.5,0.88,1.01,2.14,1.59,11.67,8.62,13.19,-25.0,-1751.85,82.93,20.93
22.58,132.2,0.95,0.12,2.83,2.19,1.66,11.28,0.1,17.5,-38.0,-1608.16,58.09,19.69
20.22,130.0,1.99,0.66,1.8,2.8,1.97,14.68,0.46,17.08,-34.0,-1472.58,51.21,17.06
19.34,133.7,3.35,0.48,0.94,2.57,1.58,12.92,10.01,13.45,-25.0,-1914.24,81.1,20.89
19.33,132.7,2.62,0.77,2.02,2.73,1.93,10.34,9.08,14.59,-26.0,-1818.14,93.99,20.74
23.09,130.0,2.63,0.9,1.05,2.6,1.68,11.12,5.03,14.58,-29.0,-1838.38,68.85,21.59
22.7,118.5,1.29,0.26,2.71,2.56,1.89,12.23,4.04,16.26,-45.0,-1629.28,69.54,21.75
20.89,109.9,3.32,0.35,0.51,2.44,1.59,14.81,3.86,15.55,-39.0,-1514.65,61.78,19.24
17.88,132.9,0.65,0.95,2.45,2.44,1.94,10.29,0.5,14.13,-42.0,-971.23,36.69,21.55
19.34,133.7,3.34,0.33,0.96,2.57,1.58,12.95,9.99,13.45,-26.0,-1912.37,79.75,20.84
23.82,137.1,1.06,0.13,0.97,2.26,1.51,14.71,2.56,16.62,-34.0,-1889.65,46.82,16.96
23.13,80.8,2.54,0.48,1.04,2.07,1.57,12.43,7.26,12.61,-38.0,-1696.21,61.24,20.54
18.26,128.8,0.58,0.7,3.26,2.34,1.71,10.92,0.08,14.52,-42.0,-1062.49,45.25,20.29
22.7,118.5,1.35,0.26,2.09,2.58,1.9,12.21,3.83,16.47,-43.0,-1638.76,71.72,21.8
18.26,129.0,2.32,0.96,2.45,2.44,1.94,10.3,0.45,14.13,-44.0,-1247.99,65.28,21.63
15.61,133.9,2.56,0.26,1.18,2.18,1.68,11.07,11.65,11.96,-25.0,-1502.51,88.68,21.14
17.12,123.9,2.79,0.03,1.99,2.04,1.52,14.01,5.77,14.59,-48.0,-1558.42,75.14,19.26
19.84,133.1,1.44,0.65,2.07,2.6,1.97,12.88,6.07,15.37,-38.0,-1627.34,69.36,21.52
19.39,132.4,1.79,0.27,0.82,2.21,1.61,10.38,4.98,14.08,-41.0,-1361.66,85.38,20.26
22.69,130.7,1.36,0.57,1.06,2.4,1.67,11.13,4.07,14.74,-39.0,-1613.09,73.69,19.68
19.34,131.8,3.36,0.78,0.94,2.7,1.88,12.92,10.01,13.45,-25.0,-1951.92,87.39,21.45
18.54,131.3,1.35,0.7,2.37,2.42,1.58,10.17,4.98,14.25,-45.0,-1126.31,59.21,19.44
22.5,128.6,1.09,0.68,1.28,2.47,1.65,12.96,7.44,13.06,-25.0,-1961.14,53.75,19.93
18.24,120.1,1.34,0.52,3.23,2.05,1.55,13.88,8.62,16.05,-43.0,-1541.58,62.57,19.98
18.07,118.5,1.37,0.13,2.8,2.22,1.72,10.96,4.8,13.16,-48.0,-1358.02,54.71,21.4
19.09,137.2,2.81,0.7,0.59,2.45,1.51,14.02,3.42,17.6,-25.0,-1531.56,68.19,18.32
17.22,137.4,0.5,0.4,3.28,2.25,1.66,10.87,3.86,16.79,-48.0,-1057.68,48.74,19.9
17.88,118.4,1.35,0.95,2.45,2.21,1.71,10.29,0.5,14.13,-44.0,-1074.28,58.8,21.16
23.87,137.1,3.29,0.13,0.5,2.26,1.51,14.71,2.51,16.62,-28.0,-1891.81,42.17,16.87
20.12,133.1,1.35,0.7,2.51,2.8,1.97,10.05,1.14,14.54,-43.0,-1177.5,64.98,20.57
22.75,118.5,1.29,0.4,2.71,2.58,1.9,12.2,3.8,16.26,-44.0,-1602.0,68.81,21.62
18.82,137.1,1.06,0.13,0.97,2.26,1.51,14.71,2.56,16.62,-40.0,-1359.04,42.31,16.88
15.84,132.4,1.77,0.27,2.24,2.18,1.6,10.47,4.18,17.93,-48.0,-1157.93,73.81,20.61
22.51,132.8,2.5,0.68,1.55,2.4,1.65,12.25,7.43,13.06,-29.0,-1999.6,58.83,20.56
23.69,109.9,1.04,0.35,1.76,2.68,1.71,14.82,2.28,17.03,-36.0,-1680.56,41.29,16.55
17.2,136.8,0.55,0.4,3.29,2.42,1.66,10.7,3.51,16.62,-48.0,-955.68,54.34,20.46
22.3,138.7,1.52,0.12,1.37,2.32,1.62,12.82,4.34,16.36,-38.0,-1868.08,60.41,20.13
18.97,137.2,1.35,0.13,3.28,2.32,1.51,14.24,6.62,17.41,-43.0,-1597.56,52.91,17.65
23.89,111.0,0.5,0.29,2.49,2.44,1.9,12.23,5.92,13.14,-39.0,-1714.13,37.18,20.91
22.82,118.5,1.38,0.72,2.24,2.22,1.72,10.95,4.8,13.16,-44.0,-1611.62,63.47,21.42
20.17,133.3,2.21,0.25,1.8,2.86,1.95,14.22,3.65,17.33,-40.0,-1620.03,60.14,18.57
24.16,132.8,1.32,0.11,1.18,2.59,1.84,11.13,6.97,11.87,-29.0,-2046.56,55.01,20.11
18.21,119.3,1.94,0.7,2.07,2.28,1.57,11.93,5.23,12.5,-44.0,-1250.45,60.78,20.68
25.0,118.5,2.84,0.41,0.6,2.11,1.51,10.88,3.86,13.28,-41.0,-1750.17,70.88,20.38
23.88,74.7,1.27,0.9,2.05,2.01,1.51,13.04,3.65,14.57,-46.0,-1421.56,55.35,20.3
20.22,128.0,2.0,0.66,1.83,2.48,1.97,14.76,4.72,17.22,-41.0,-1710.44,58.45,17.01
23.61,137.2,0.53,0.28,3.31,2.55,1.58,12.92,4.38,14.56,-37.0,-1559.4,47.52,20.42
22.92,132.2,0.5,0.4,3.47,2.25,1.66,10.83,3.85,13.27,-44.0,-1329.33,25.66,20.81
20.29,119.7,1.11,0.29,1.3,2.42,1.51,12.85,8.84,13.47,-26.0,-1827.81,70.68,19.48
22.31,129.9,0.71,0.58,1.06,2.4,1.67,11.04,4.07,14.74,-36.0,-1567.05,69.62,19.93
24.16,101.6,1.68,0.02,1.18,2.64,1.86,10.38,4.85,11.91,-43.0,-1638.2,72.45,20.38
17.95,125.1,1.33,0.43,3.52,2.35,1.85,10.17,5.52,14.28,-48.0,-1255.93,60.8,21.6
20.51,101.9,1.54,0.09,1.0,2.12,1.62,12.83,6.2,16.26,-38.0,-1631.14,67.95,20.27
23.8,134.0,1.21,0.9,2.05,2.38,1.51,13.04,1.84,17.36,-31.0,-1708.49,46.92,18.94
17.46,132.7,0.79,0.68,2.08,2.44,1.65,10.17,5.04,14.61,-41.0,-1043.48,81.51,19.63
24.32,132.8,1.4,0.11,1.84,2.46,1.71,12.84,1.11,17.57,-34.0,-1750.47,56.8,20.65
