X0,X1,X2,X3,X4,X5,ANG,AVG,RIP
24.78,144.8,1.08,0.52,2.2,0.52,-43.0,-1786.617,53.529
16.44,131.1,1.01,0.99,1.2,1.09,-45.0,-945.609,44.526
17.63,127.9,2.76,0.23,1.63,0.89,-45.0,-1361.153,52.949
23.45,137.2,2.36,0.55,1.0,1.07,-43.0,-1695.121,60.717
17.15,139.9,2.21,0.03,2.57,0.61,-43.0,-1639.586,70.731
17.47,113.1,3.31,0.46,1.17,1.52,-44.0,-999.001,40.809
15.81,106.6,1.05,0.01,1.01,1.06,-45.0,-918.138,45.985
17.57,105.2,3.09,0.43,1.63,0.8,-45.0,-1268.822,40.919
22.57,136.7,1.5,0.52,2.19,0.52,-43.0,-1781.411,54.339
21.64,129.3,2.9,0.59,1.04,0.78,-43.0,-1572.438,54.198
17.78,139.5,1.32,0.03,3.29,1.08,-42.0,-1260.995,46.122
23.24,134.2,2.34,0.42,1.29,0.79,-43.0,-1734.808,57.079
15.22,135.5,2.4,0.92,1.66,1.01,-44.0,-987.03,40.866
16.02,139.9,3.17,0.41,1.17,2.19,-44.0,-862.102,47.499
22.83,147.4,2.79,0.02,1.0,1.16,-43.0,-1674.889,59.938
15.87,129.0,3.2,0.39,1.82,0.75,-45.0,-1290.178,42.392
15.66,107.0,2.7,0.93,1.01,1.19,-44.0,-843.238,32.108
15.76,121.1,2.99,0.53,1.12,1.13,-44.0,-976.321,38.234
23.67,145.1,2.55,0.15,1.0,0.76,-43.0,-1830.666,56.294
21.64,125.7,2.81,0.63,1.0,0.78,-43.0,-1551.936,54.712
23.43,143.3,2.52,0.68,1.14,1.07,-42.0,-1683.222,61.467
23.12,106.5,1.21,0.52,2.4,0.52,-43.0,-1663.989,44.127
24.13,113.3,2.31,0.41,1.07,0.6,-44.0,-1781.195,50.896
15.98,130.8,3.87,0.99,1.19,1.09,-43.0,-964.949,31.635
16.32,109.5,1.35,0.31,1.94,0.82,-45.0,-1279.651,63.284
24.99,138.2,2.12,0.04,1.07,0.52,-44.0,-2011.977,52.729
17.57,105.2,3.08,0.43,1.6,0.8,-45.0,-1267.759,40.978
15.49,111.0,3.87,0.41,1.08,1.52,-43.0,-849.421,31.748
23.65,145.6,2.44,0.09,1.05,0.72,-43.0,-1876.059,56.561
24.47,123.8,2.37,0.4,1.0,0.63,-43.0,-1840.807,53.497
22.52,108.8,1.07,0.52,2.62,0.52,-42.0,-1632.864,44.959
23.97,103.7,2.13,0.07,1.36,0.75,-44.0,-1761.535,49.171
24.56,145.3,2.39,0.03,1.0,0.82,-43.0,-1920.636,56.753
24.44,137.8,2.4,0.92,1.0,0.76,-43.0,-1779.999,57.688
24.93,145.2,1.03,0.53,1.05,0.54,-45.0,-1961.02,60.378
15.23,108.6,3.39,0.22,1.55,1.23,-45.0,-999.59,27.486
24.28,111.5,1.32,0.58,1.63,0.8,-45.0,-1741.105,48.756
22.74,115.1,2.31,0.45,1.0,0.5,-44.0,-1702.988,54.858
23.07,121.1,2.62,0.53,1.01,1.13,-43.0,-1577.307,56.878
